2024-07-15 21:49:21,321 INFO    MainThread:5136 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-07-15 21:49:21,322 INFO    MainThread:5136 [wandb_setup.py:_flush():76] Configure stats pid to 5136
2024-07-15 21:49:21,322 INFO    MainThread:5136 [wandb_setup.py:_flush():76] Loading settings from C:\Users\lenovo\.config\wandb\settings
2024-07-15 21:49:21,322 INFO    MainThread:5136 [wandb_setup.py:_flush():76] Loading settings from c:\Users\lenovo\Desktop\CUHK\Research\wandb\settings
2024-07-15 21:49:21,322 INFO    MainThread:5136 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-15 21:49:21,322 INFO    MainThread:5136 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-15 21:49:21,322 INFO    MainThread:5136 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-07-15 21:49:21,322 INFO    MainThread:5136 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-15 21:49:21,323 INFO    MainThread:5136 [wandb_init.py:_log_setup():521] Logging user logs to c:\Users\lenovo\Desktop\CUHK\Research\wandb\run-20240715_214921-2oo3mzda\logs\debug.log
2024-07-15 21:49:21,323 INFO    MainThread:5136 [wandb_init.py:_log_setup():522] Logging internal logs to c:\Users\lenovo\Desktop\CUHK\Research\wandb\run-20240715_214921-2oo3mzda\logs\debug-internal.log
2024-07-15 21:49:21,323 INFO    MainThread:5136 [wandb_init.py:_jupyter_setup():467] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001B593A03130>
2024-07-15 21:49:21,323 INFO    MainThread:5136 [wandb_init.py:init():561] calling init triggers
2024-07-15 21:49:21,324 INFO    MainThread:5136 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'alpha': 0.1, 'sigma': 1, 'K': 0.88, 'batch_size': 1000, 'architecture': 'ASkewSGD_1', 'dataset': 'LogisticRegression', 'epochs': 50}
2024-07-15 21:49:21,324 INFO    MainThread:5136 [wandb_init.py:init():611] starting backend
2024-07-15 21:49:21,324 INFO    MainThread:5136 [wandb_init.py:init():615] setting up manager
2024-07-15 21:49:21,330 INFO    MainThread:5136 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-07-15 21:49:21,331 INFO    MainThread:5136 [wandb_init.py:init():623] backend started and connected
2024-07-15 21:49:21,350 INFO    MainThread:5136 [wandb_run.py:_label_probe_notebook():1299] probe notebook
2024-07-15 21:49:21,351 INFO    MainThread:5136 [wandb_run.py:_label_probe_notebook():1309] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-07-15 21:49:21,351 INFO    MainThread:5136 [wandb_init.py:init():715] updated telemetry
2024-07-15 21:49:21,355 INFO    MainThread:5136 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-07-15 21:49:22,001 INFO    MainThread:5136 [wandb_run.py:_on_init():2357] communicating current version
2024-07-15 21:49:22,048 INFO    MainThread:5136 [wandb_run.py:_on_init():2366] got version response upgrade_message: "wandb version 0.17.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-15 21:49:22,048 INFO    MainThread:5136 [wandb_init.py:init():799] starting run threads in backend
2024-07-15 21:49:31,125 INFO    MainThread:5136 [wandb_run.py:_console_start():2335] atexit reg
2024-07-15 21:49:31,125 INFO    MainThread:5136 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-07-15 21:49:31,125 INFO    MainThread:5136 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-07-15 21:49:31,125 INFO    MainThread:5136 [wandb_run.py:_redirect():2280] Redirects installed.
2024-07-15 21:49:31,126 INFO    MainThread:5136 [wandb_init.py:init():842] run started, returning control to user process
2024-07-15 21:49:37,055 INFO    MainThread:5136 [wandb_run.py:_finish():2064] finishing run hokfong-the-chinese-university-of-hong-kong/exp/2oo3mzda
2024-07-15 21:49:37,056 INFO    MainThread:5136 [jupyter.py:save_history():445] not saving jupyter history
2024-07-15 21:49:37,056 INFO    MainThread:5136 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-07-15 21:49:37,056 INFO    MainThread:5136 [wandb_init.py:_jupyter_teardown():449] cleaning up jupyter logic
2024-07-15 21:49:37,056 INFO    MainThread:5136 [wandb_run.py:_atexit_cleanup():2304] got exitcode: 0
2024-07-15 21:49:37,057 INFO    MainThread:5136 [wandb_run.py:_restore():2287] restore
2024-07-15 21:49:37,057 INFO    MainThread:5136 [wandb_run.py:_restore():2293] restore done
2024-07-15 21:49:40,081 INFO    MainThread:5136 [wandb_run.py:_footer_history_summary_info():3936] rendering history
2024-07-15 21:49:40,081 INFO    MainThread:5136 [wandb_run.py:_footer_history_summary_info():3968] rendering summary
2024-07-15 21:49:40,090 INFO    MainThread:5136 [wandb_run.py:_footer_sync_info():3895] logging synced files
